timestamp_sec,ego_x,ego_y,ego_z,ego_speed_mps,distance_to_intersection_m,distance_to_pedestrian_m,human_throttle,human_brake,human_steering_rad
1063.290,-97.019,-51.554,0.329,0.003,0.790,10.732,0.000,0.000,0.0000
1063.300,-97.019,-51.546,0.328,0.010,0.790,10.732,0.000,0.000,0.0000
1063.310,-97.019,-51.537,0.328,0.016,0.790,10.732,0.000,0.000,0.0000
1063.320,-97.019,-51.530,0.328,0.021,0.790,10.732,0.000,0.000,0.0000
1063.330,-97.019,-51.522,0.328,0.026,0.790,10.733,0.000,0.000,0.0000
1063.340,-97.019,-51.515,0.328,0.030,0.790,10.733,0.000,0.000,0.0000
1063.350,-97.019,-51.509,0.327,0.033,0.790,10.733,0.000,0.000,0.0000
1063.360,-97.019,-51.503,0.327,0.035,0.790,10.734,0.000,0.000,0.0000
1063.370,-97.019,-51.497,0.326,0.037,0.790,10.734,0.000,0.000,0.0000
1063.380,-97.019,-51.492,0.326,0.038,0.790,10.734,0.000,0.000,0.0000
1063.390,-97.019,-51.487,0.326,0.039,0.790,10.735,0.000,0.000,0.0000
1063.400,-97.019,-51.482,0.325,0.039,0.790,10.735,0.000,0.000,0.0000
1063.410,-97.019,-51.478,0.325,0.038,0.790,10.736,0.000,0.000,0.0000
1063.420,-97.019,-51.474,0.325,0.037,0.790,10.736,0.000,0.000,0.0000
1063.430,-97.019,-51.471,0.324,0.036,0.790,10.736,0.000,0.000,0.0000
1063.440,-97.019,-51.468,0.324,0.034,0.790,10.737,0.000,0.000,0.0000
1063.450,-97.019,-51.465,0.324,0.031,0.790,10.737,0.000,0.000,0.0000
1063.460,-97.019,-51.463,0.323,0.029,0.790,10.737,0.000,0.000,0.0000
1063.470,-97.019,-51.461,0.323,0.026,0.790,10.737,0.000,0.000,0.0000
1063.480,-97.019,-51.460,0.323,0.023,0.790,10.738,0.000,0.000,0.0000
1063.490,-97.019,-51.459,0.323,0.020,0.790,10.738,0.000,0.000,0.0000
1063.500,-97.019,-51.458,0.322,0.016,0.790,10.738,0.000,0.000,0.0000
1063.510,-97.019,-51.458,0.322,0.013,0.790,10.738,0.000,0.000,0.0000
1063.520,-97.019,-51.458,0.322,0.014,0.790,10.738,0.000,0.000,0.0000
1063.530,-97.019,-51.458,0.322,0.017,0.790,10.738,0.000,0.000,0.0000
1063.540,-97.019,-51.458,0.322,0.023,0.790,10.739,0.000,0.000,0.0000
1063.550,-97.019,-51.458,0.321,0.028,0.790,10.739,0.000,0.000,0.0000
1063.560,-97.019,-51.458,0.321,0.033,0.790,10.739,0.000,0.000,0.0000
1063.570,-97.019,-51.459,0.321,0.038,0.790,10.740,0.000,0.000,0.0000
1063.580,-97.019,-51.459,0.320,0.041,0.790,10.740,0.040,0.000,0.0000
1063.590,-97.019,-51.459,0.320,0.047,0.790,10.741,0.080,0.000,0.0000
1063.600,-97.019,-51.458,0.319,0.055,0.790,10.741,0.120,0.000,0.0000
1063.610,-97.019,-51.458,0.319,0.064,0.790,10.742,0.160,0.000,0.0000
1063.620,-97.019,-51.457,0.318,0.072,0.790,10.742,0.200,0.000,0.0000
1063.630,-97.019,-51.455,0.317,0.079,0.790,10.743,0.240,0.000,0.0000
1063.640,-97.019,-51.453,0.316,0.084,0.790,10.744,0.280,0.000,0.0000
1063.650,-97.019,-51.451,0.315,0.087,0.790,10.745,0.320,0.000,0.0000
1063.660,-97.019,-51.448,0.315,0.089,0.790,10.746,0.360,0.000,0.0000
1063.670,-97.019,-51.445,0.314,0.089,0.790,10.747,0.400,0.000,0.0000
1063.680,-97.019,-51.442,0.313,0.088,0.790,10.748,0.440,0.000,0.0000
1063.690,-97.019,-51.438,0.312,0.085,0.789,10.748,0.480,0.000,0.0000
