timestamp_sec,ego_x,ego_y,ego_z,ego_speed_mps,distance_to_intersection_m,distance_to_pedestrian_m,human_throttle,human_brake,human_steering_rad
1499.380,-97.020,-52.451,0.317,0.000,0.790,8.238,0.000,0.000,0.0000
1499.390,-97.020,-52.451,0.317,0.000,0.790,8.256,0.000,0.000,0.0000
1499.400,-97.020,-52.451,0.317,0.000,0.790,8.274,0.000,0.000,0.0000
1499.410,-97.020,-52.451,0.317,0.000,0.790,8.292,0.000,0.000,0.0000
1499.420,-97.020,-52.451,0.317,0.000,0.790,8.310,0.000,0.000,0.0000
1499.430,-97.020,-52.451,0.317,0.000,0.790,8.328,0.000,0.000,0.0000
1499.440,-97.020,-52.451,0.317,0.000,0.790,8.346,0.000,0.000,0.0000
1499.450,-97.020,-52.451,0.317,0.000,0.790,8.364,0.000,0.000,0.0000
1499.460,-97.020,-52.451,0.317,0.000,0.790,8.381,0.000,0.000,0.0000
1499.470,-97.020,-52.451,0.317,0.000,0.790,8.399,0.000,0.000,0.0000
1499.480,-97.020,-52.451,0.317,0.000,0.790,8.417,0.000,0.000,0.0000
1499.490,-97.020,-52.451,0.317,0.000,0.790,8.435,0.000,0.000,0.0000
1499.500,-97.020,-52.451,0.317,0.000,0.790,8.453,0.000,0.000,0.0000
1499.510,-97.020,-52.451,0.317,0.000,0.790,8.471,0.000,0.000,0.0000
1499.520,-97.020,-52.451,0.317,0.000,0.790,8.489,0.000,0.000,0.0000
1499.530,-97.020,-52.451,0.317,0.000,0.790,8.506,0.000,0.000,0.0000
1499.540,-97.020,-52.451,0.317,0.000,0.790,8.524,0.000,0.000,0.0000
1499.550,-97.020,-52.451,0.317,0.000,0.790,8.542,0.000,0.000,0.0000
1499.560,-97.020,-52.451,0.317,0.000,0.790,8.560,0.000,0.000,0.0000
1499.570,-97.020,-52.451,0.317,0.000,0.790,8.578,0.000,0.000,0.0000
1499.580,-97.020,-52.451,0.317,0.000,0.790,8.596,0.000,0.000,0.0000
1499.590,-97.020,-52.451,0.317,0.000,0.790,8.614,0.000,0.000,0.0000
1499.600,-97.020,-52.451,0.317,0.000,0.790,8.632,0.000,0.000,0.0000
1499.610,-97.020,-52.451,0.317,0.000,0.790,8.649,0.000,0.000,0.0000
1499.620,-97.020,-52.451,0.317,0.000,0.790,8.667,0.000,0.000,0.0000
1499.630,-97.020,-52.451,0.317,0.000,0.790,8.685,0.000,0.000,0.0000
1499.640,-97.020,-52.451,0.317,0.000,0.790,8.703,0.000,0.000,0.0000
1499.650,-97.020,-52.451,0.317,0.000,0.790,8.721,0.000,0.000,0.0000
1499.660,-97.020,-52.451,0.317,0.000,0.790,8.739,0.000,0.000,0.0000
1499.670,-97.020,-52.451,0.317,0.000,0.790,8.757,0.000,0.000,0.0000
1499.680,-97.020,-52.451,0.317,0.000,0.790,8.775,0.000,0.000,0.0000
1499.690,-97.020,-52.451,0.317,0.000,0.790,8.792,0.000,0.000,0.0000
1499.700,-97.020,-52.451,0.317,0.000,0.790,8.810,0.000,0.000,0.0000
1499.710,-97.020,-52.451,0.317,0.000,0.790,8.828,0.000,0.000,0.0000
1499.720,-97.020,-52.451,0.317,0.000,0.790,8.846,0.000,0.000,0.0000
1499.730,-97.020,-52.451,0.317,0.000,0.790,8.864,0.000,0.000,0.0000
1499.740,-97.020,-52.451,0.317,0.000,0.790,8.882,0.000,0.000,0.0000
1499.750,-97.020,-52.451,0.317,0.000,0.790,8.900,0.000,0.000,0.0000
1499.760,-97.020,-52.451,0.317,0.000,0.790,8.918,0.040,0.000,0.0000
1499.770,-97.020,-52.451,0.317,0.004,0.790,8.936,0.080,0.000,0.0000
1499.780,-97.020,-52.451,0.317,0.010,0.790,8.954,0.120,0.000,0.0000
1499.790,-97.020,-52.450,0.317,0.018,0.790,8.972,0.160,0.000,0.0000
1499.800,-97.020,-52.449,0.316,0.027,0.790,8.990,0.200,0.000,0.0000
1499.810,-97.020,-52.447,0.316,0.034,0.790,9.008,0.240,0.000,0.0000
1499.820,-97.020,-52.446,0.316,0.041,0.790,9.026,0.280,0.000,0.0000
1499.830,-97.020,-52.443,0.315,0.047,0.790,9.045,0.320,0.000,0.0000
1499.840,-97.020,-52.440,0.315,0.051,0.790,9.063,0.360,0.000,0.0000
1499.850,-97.020,-52.437,0.314,0.054,0.790,9.081,0.400,0.000,0.0000
1499.860,-97.020,-52.434,0.314,0.056,0.790,9.100,0.440,0.000,0.0000
1499.870,-97.020,-52.430,0.313,0.056,0.790,9.118,0.480,0.000,0.0000
1499.880,-97.020,-52.425,0.312,0.056,0.790,9.137,0.520,0.000,0.0000
1499.890,-97.020,-52.421,0.312,0.055,0.790,9.155,0.560,0.000,0.0000
1499.900,-97.020,-52.415,0.311,0.054,0.790,9.174,0.600,0.000,0.0000
1499.910,-97.020,-52.410,0.311,0.051,0.790,9.192,0.640,0.000,0.0000
1499.920,-97.020,-52.404,0.310,0.048,0.790,9.210,0.680,0.000,0.0000
1499.930,-97.020,-52.397,0.310,0.045,0.790,9.229,0.720,0.000,0.0000
1499.940,-97.020,-52.391,0.309,0.041,0.790,9.247,0.760,0.000,0.0000
1499.950,-97.020,-52.384,0.309,0.037,0.790,9.265,0.800,0.000,0.0000
1499.960,-97.020,-52.376,0.309,0.033,0.790,9.283,0.840,0.000,0.0000
1499.970,-97.020,-52.368,0.308,0.028,0.790,9.302,0.880,0.000,0.0000
1499.980,-97.020,-52.360,0.308,0.024,0.790,9.320,0.920,0.000,0.0000
1499.990,-97.020,-52.351,0.308,0.019,0.790,9.338,0.960,0.000,0.0000
1500.000,-97.020,-52.341,0.308,0.014,0.790,9.356,1.000,0.000,0.0000
1500.010,-97.020,-52.332,0.308,0.010,0.790,9.374,1.000,0.000,0.0000
1500.020,-97.020,-52.322,0.308,0.006,0.790,9.392,1.000,0.000,0.0000
