timestamp_sec,ego_x,ego_y,ego_z,ego_speed_mps,distance_to_intersection_m,distance_to_pedestrian_m,human_throttle,human_brake,human_steering_rad
1617.790,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.800,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.810,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.820,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.830,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.840,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.850,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.860,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.870,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.880,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.890,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.900,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.910,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.920,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.930,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1617.940,-97.020,-52.451,0.317,0.000,0.790,10.744,0.040,0.000,0.0000
1617.950,-97.020,-52.451,0.317,0.004,0.790,10.744,0.080,0.000,0.0000
1617.960,-97.020,-52.451,0.317,0.010,0.790,10.744,0.120,0.000,0.0000
1617.970,-97.020,-52.450,0.317,0.018,0.790,10.744,0.160,0.000,0.0000
1617.980,-97.020,-52.449,0.316,0.027,0.790,10.744,0.200,0.000,0.0000
1617.990,-97.020,-52.447,0.316,0.035,0.790,10.745,0.240,0.000,0.0000
1618.000,-97.020,-52.446,0.316,0.041,0.790,10.745,0.280,0.000,0.0000
