timestamp_sec,ego_x,ego_y,ego_z,ego_speed_mps,distance_to_intersection_m,distance_to_pedestrian_m,human_throttle,human_brake,human_steering_rad
181.340,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.350,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.360,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.370,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.380,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.390,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.400,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.410,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.420,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.430,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.440,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.450,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.460,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.470,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.480,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.490,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.500,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.510,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.520,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.530,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.540,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.550,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.560,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.570,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.580,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.590,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.600,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.610,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.620,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
181.630,-97.020,-52.451,0.317,0.000,0.790,10.744,0.040,0.000,0.0000
181.640,-97.020,-52.451,0.317,0.004,0.790,10.744,0.080,0.000,0.0000
181.650,-97.020,-52.451,0.317,0.010,0.790,10.744,0.120,0.000,0.0000
181.660,-97.020,-52.450,0.317,0.018,0.790,10.744,0.160,0.000,0.0000
181.670,-97.020,-52.449,0.316,0.027,0.790,10.744,0.200,0.000,0.0000
181.680,-97.020,-52.447,0.316,0.035,0.790,10.745,0.240,0.000,0.0000
181.690,-97.020,-52.446,0.316,0.041,0.790,10.745,0.280,0.000,0.0000
181.700,-97.020,-52.443,0.315,0.047,0.790,10.745,0.320,0.000,0.0000
181.710,-97.020,-52.440,0.315,0.051,0.790,10.746,0.360,0.000,0.0000
181.720,-97.020,-52.437,0.314,0.054,0.790,10.746,0.400,0.000,0.0000
181.730,-97.020,-52.434,0.314,0.056,0.790,10.747,0.440,0.000,0.0000
181.740,-97.020,-52.430,0.313,0.056,0.790,10.748,0.480,0.000,0.0000
181.750,-97.020,-52.425,0.312,0.056,0.790,10.748,0.520,0.000,0.0000
181.760,-97.020,-52.421,0.312,0.055,0.790,10.749,0.560,0.000,0.0000
181.770,-97.020,-52.415,0.311,0.054,0.790,10.749,0.600,0.000,0.0000
181.780,-97.020,-52.410,0.311,0.051,0.790,10.750,0.640,0.000,0.0000
181.790,-97.020,-52.404,0.310,0.048,0.790,10.750,0.680,0.000,0.0000
181.800,-97.020,-52.397,0.310,0.045,0.790,10.751,0.720,0.000,0.0000
181.810,-97.020,-52.391,0.309,0.041,0.790,10.751,0.760,0.000,0.0000
181.820,-97.020,-52.384,0.309,0.037,0.790,10.751,0.800,0.000,0.0000
181.830,-97.020,-52.376,0.309,0.033,0.790,10.752,0.840,0.000,0.0000
181.840,-97.020,-52.368,0.308,0.028,0.790,10.752,0.880,0.000,0.0000
181.850,-97.020,-52.360,0.308,0.024,0.790,10.752,0.920,0.000,0.0000
181.860,-97.020,-52.351,0.308,0.019,0.790,10.752,0.960,0.000,0.0000
181.870,-97.020,-52.341,0.308,0.014,0.790,10.753,1.000,0.000,0.0000
181.880,-97.020,-52.332,0.308,0.010,0.790,10.753,1.000,0.000,0.0000
181.890,-97.020,-52.322,0.308,0.006,0.790,10.753,1.000,0.000,0.0000
181.900,-97.020,-52.311,0.308,0.002,0.790,10.753,1.000,0.000,0.0000
181.910,-97.020,-52.301,0.308,0.003,0.790,10.753,1.000,0.000,0.0000
181.920,-97.020,-52.289,0.308,0.006,0.790,10.753,1.000,0.000,0.0000
181.930,-97.020,-52.278,0.308,0.009,0.790,10.753,1.000,0.000,0.0000
181.940,-97.020,-52.266,0.308,0.012,0.790,10.752,1.000,0.000,0.0000
181.950,-97.020,-52.253,0.308,0.014,0.790,10.752,1.000,0.000,0.0000
181.960,-97.020,-52.240,0.308,0.016,0.790,10.752,1.000,0.000,0.0000
181.970,-97.020,-52.227,0.308,0.018,0.790,10.752,1.000,0.000,0.0000
181.980,-97.020,-52.213,0.309,0.019,0.790,10.752,1.000,0.000,0.0000
181.990,-97.020,-52.199,0.309,0.020,0.790,10.752,1.000,0.000,0.0000
182.000,-97.020,-52.185,0.309,0.021,0.790,10.751,1.000,0.000,0.0000
182.010,-97.020,-52.170,0.309,0.021,0.790,10.751,1.000,0.000,0.0000
182.020,-97.020,-52.155,0.310,0.021,0.790,10.751,1.000,0.000,0.0000
182.030,-97.020,-52.139,0.310,0.020,0.790,10.751,1.000,0.000,0.0000
182.040,-97.020,-52.123,0.310,0.020,0.790,10.751,1.000,0.000,0.0000
182.050,-97.020,-52.107,0.310,0.019,0.790,10.750,1.000,0.000,0.0000
182.060,-97.020,-52.090,0.310,0.018,0.790,10.750,1.000,0.000,0.0000
182.070,-97.020,-52.073,0.310,0.016,0.790,10.750,1.000,0.000,0.0000
182.080,-97.020,-52.055,0.311,0.015,0.790,10.750,1.000,0.000,0.0000
182.090,-97.020,-52.037,0.311,0.013,0.790,10.750,1.000,0.000,0.0000
182.100,-97.020,-52.019,0.311,0.012,0.790,10.750,1.000,0.000,0.0000
182.110,-97.020,-52.000,0.311,0.010,0.790,10.750,1.000,0.000,0.0000
182.120,-97.020,-51.981,0.311,0.008,0.790,10.749,1.000,0.000,0.0000
182.130,-97.020,-51.961,0.311,0.006,0.790,10.749,1.000,0.000,0.0000
182.140,-97.020,-51.941,0.311,0.005,0.790,10.749,1.000,0.000,0.0000
182.150,-97.020,-51.921,0.311,0.003,0.790,10.749,1.000,0.000,0.0000
182.160,-97.020,-51.900,0.311,0.002,0.790,10.749,1.000,0.000,0.0000
182.170,-97.020,-51.879,0.311,0.002,0.790,10.749,1.000,0.000,0.0000
182.180,-97.020,-51.857,0.311,0.002,0.790,10.749,1.000,0.000,0.0000
