timestamp_sec,ego_x,ego_y,ego_z,ego_speed_mps,distance_to_intersection_m,distance_to_pedestrian_m,human_throttle,human_brake,human_steering_rad
932.620,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.630,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.640,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.650,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.660,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.670,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.680,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.690,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.700,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.710,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.720,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.730,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
932.740,-97.020,-52.451,0.317,0.000,0.790,10.744,0.040,0.000,0.0000
932.750,-97.020,-52.451,0.317,0.004,0.790,10.744,0.080,0.000,0.0000
932.760,-97.020,-52.451,0.317,0.010,0.790,10.744,0.120,0.000,0.0000
932.770,-97.020,-52.450,0.317,0.018,0.790,10.744,0.160,0.000,0.0000
932.780,-97.020,-52.449,0.316,0.027,0.790,10.744,0.200,0.000,0.0000
932.790,-97.020,-52.447,0.316,0.035,0.790,10.745,0.240,0.000,0.0000
932.800,-97.020,-52.446,0.316,0.041,0.790,10.745,0.280,0.000,0.0000
932.810,-97.020,-52.443,0.315,0.047,0.790,10.745,0.320,0.000,0.0000
932.820,-97.020,-52.440,0.315,0.051,0.790,10.746,0.360,0.000,0.0000
932.830,-97.020,-52.437,0.314,0.054,0.790,10.746,0.400,0.000,0.0000
932.840,-97.020,-52.434,0.314,0.056,0.790,10.747,0.440,0.000,0.0000
932.850,-97.020,-52.430,0.313,0.056,0.790,10.748,0.480,0.000,0.0000
932.860,-97.020,-52.425,0.312,0.056,0.790,10.748,0.520,0.000,0.0000
932.870,-97.020,-52.421,0.312,0.055,0.790,10.749,0.560,0.000,0.0000
932.880,-97.020,-52.415,0.311,0.054,0.790,10.749,0.600,0.000,0.0000
932.890,-97.020,-52.410,0.311,0.051,0.790,10.750,0.640,0.000,0.0000
932.900,-97.020,-52.404,0.310,0.048,0.790,10.750,0.680,0.000,0.0000
932.910,-97.020,-52.397,0.310,0.045,0.790,10.751,0.720,0.000,0.0000
932.920,-97.020,-52.391,0.309,0.041,0.790,10.751,0.760,0.000,0.0000
932.930,-97.020,-52.384,0.309,0.037,0.790,10.751,0.800,0.000,0.0000
932.940,-97.020,-52.376,0.309,0.033,0.790,10.752,0.840,0.000,0.0000
932.950,-97.020,-52.368,0.308,0.028,0.790,10.752,0.880,0.000,0.0000
932.960,-97.020,-52.360,0.308,0.024,0.790,10.752,0.920,0.000,0.0000
932.970,-97.020,-52.351,0.308,0.019,0.790,10.752,0.960,0.000,0.0000
932.980,-97.020,-52.341,0.308,0.014,0.790,10.753,1.000,0.000,0.0000
932.990,-97.020,-52.332,0.308,0.010,0.790,10.753,1.000,0.000,0.0000
933.000,-97.020,-52.322,0.308,0.006,0.790,10.753,1.000,0.000,0.0000
