timestamp_sec,ego_x,ego_y,ego_z,ego_speed_mps,distance_to_intersection_m,distance_to_pedestrian_m,human_throttle,human_brake,human_steering_rad
1199.240,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.250,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.260,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.270,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.280,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.290,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.300,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.310,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.320,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.330,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.340,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.350,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.360,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.370,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.380,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.390,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
1199.400,-97.020,-52.451,0.317,0.000,0.790,10.744,0.040,0.000,0.0000
1199.410,-97.020,-52.451,0.317,0.004,0.790,10.744,0.080,0.000,0.0000
1199.420,-97.020,-52.451,0.317,0.010,0.790,10.744,0.120,0.000,0.0000
1199.430,-97.020,-52.450,0.317,0.018,0.790,10.744,0.160,0.000,0.0000
1199.440,-97.020,-52.449,0.316,0.027,0.790,10.744,0.200,0.000,0.0000
1199.450,-97.020,-52.447,0.316,0.035,0.790,10.745,0.240,0.000,0.0000
1199.460,-97.020,-52.445,0.316,0.041,0.790,10.745,0.280,0.000,0.0000
1199.470,-97.020,-52.443,0.315,0.047,0.790,10.745,0.320,0.000,0.0000
1199.480,-97.020,-52.440,0.315,0.051,0.790,10.746,0.360,0.000,0.0000
1199.490,-97.020,-52.437,0.314,0.054,0.790,10.746,0.400,0.000,0.0000
