timestamp_sec,ego_x,ego_y,ego_z,ego_speed_mps,distance_to_intersection_m,distance_to_pedestrian_m,human_throttle,human_brake,human_steering_rad
0.270,-97.020,-52.452,0.317,0.004,0.790,5.269,0.000,0.000,0.0000
0.280,-97.020,-52.452,0.317,0.004,0.790,5.287,0.000,0.000,0.0000
0.290,-97.020,-52.452,0.317,0.004,0.790,5.304,0.000,0.000,0.0000
0.300,-97.020,-52.452,0.317,0.003,0.790,5.322,0.000,0.000,0.0000
0.310,-97.020,-52.452,0.317,0.003,0.790,5.340,0.000,0.000,0.0000
0.320,-97.020,-52.452,0.317,0.002,0.790,5.357,0.000,0.000,0.0000
0.330,-97.020,-52.452,0.317,0.001,0.790,5.375,0.000,0.000,0.0000
0.340,-97.020,-52.452,0.317,0.001,0.790,5.393,0.000,0.000,0.0000
0.350,-97.020,-52.452,0.317,0.000,0.790,5.410,0.000,0.000,0.0000
0.360,-97.020,-52.452,0.317,0.000,0.790,5.428,0.000,0.000,0.0000
0.370,-97.020,-52.452,0.317,0.001,0.790,5.446,0.000,0.000,0.0000
0.380,-97.020,-52.452,0.317,0.001,0.790,5.463,0.000,0.000,0.0000
0.390,-97.020,-52.452,0.317,0.002,0.790,5.481,0.000,0.000,0.0000
0.400,-97.020,-52.451,0.317,0.002,0.790,5.499,0.000,0.000,0.0000
0.410,-97.020,-52.451,0.317,0.003,0.790,5.516,0.000,0.000,0.0000
0.420,-97.020,-52.451,0.317,0.003,0.790,5.534,0.000,0.000,0.0000
0.430,-97.020,-52.451,0.317,0.003,0.790,5.552,0.000,0.000,0.0000
0.440,-97.020,-52.451,0.317,0.004,0.790,5.569,0.000,0.000,0.0000
0.450,-97.020,-52.451,0.317,0.004,0.790,5.587,0.000,0.000,0.0000
0.460,-97.020,-52.451,0.317,0.004,0.790,5.605,0.000,0.000,0.0000
0.470,-97.020,-52.451,0.317,0.004,0.790,5.622,0.000,0.000,0.0000
0.480,-97.020,-52.451,0.317,0.004,0.790,5.640,0.000,0.000,0.0000
0.490,-97.020,-52.451,0.317,0.003,0.790,5.658,0.000,0.000,0.0000
0.500,-97.020,-52.451,0.317,0.003,0.790,5.675,0.000,0.000,0.0000
0.510,-97.020,-52.451,0.317,0.003,0.790,5.693,0.000,0.000,0.0000
0.520,-97.020,-52.451,0.317,0.003,0.790,5.711,0.000,0.000,0.0000
0.530,-97.020,-52.451,0.317,0.002,0.790,5.728,0.000,0.000,0.0000
