timestamp_sec,ego_x,ego_y,ego_z,ego_speed_mps,distance_to_intersection_m,distance_to_pedestrian_m,human_throttle,human_brake,human_steering_rad
960.210,-97.018,-50.165,0.320,0.110,0.789,10.740,0.000,0.000,0.0000
960.220,-97.018,-50.132,0.321,0.107,0.789,10.739,0.000,0.000,0.0000
960.230,-97.018,-50.100,0.322,0.103,0.789,10.738,0.000,0.000,0.0000
960.240,-97.018,-50.067,0.323,0.098,0.789,10.737,0.000,0.000,0.0000
960.250,-97.018,-50.035,0.324,0.092,0.789,10.736,0.000,0.000,0.0000
960.260,-97.018,-50.004,0.325,0.084,0.789,10.735,0.000,0.000,0.0000
960.270,-97.018,-49.973,0.326,0.076,0.789,10.734,0.000,0.000,0.0000
960.280,-97.018,-49.942,0.327,0.068,0.789,10.734,0.000,0.000,0.0000
960.290,-97.018,-49.912,0.327,0.059,0.789,10.733,0.000,0.000,0.0000
960.300,-97.018,-49.882,0.328,0.050,0.789,10.733,0.000,0.000,0.0000
960.310,-97.018,-49.853,0.328,0.041,0.789,10.732,0.000,0.000,0.0000
960.320,-97.018,-49.824,0.328,0.032,0.789,10.732,0.000,0.000,0.0000
960.330,-97.018,-49.795,0.329,0.023,0.789,10.732,0.000,0.000,0.0000
960.340,-97.018,-49.767,0.329,0.015,0.789,10.732,0.000,0.000,0.0000
960.350,-97.018,-49.739,0.329,0.007,0.789,10.731,0.000,0.000,0.0000
960.360,-97.018,-49.712,0.329,0.003,0.789,10.732,0.000,0.000,0.0000
960.370,-97.018,-49.685,0.329,0.009,0.789,10.732,0.000,0.000,0.0000
960.380,-97.018,-49.659,0.329,0.015,0.789,10.732,0.000,0.000,0.0000
960.390,-97.018,-49.633,0.328,0.021,0.789,10.732,0.000,0.000,0.0000
960.400,-97.018,-49.607,0.328,0.026,0.789,10.732,0.000,0.000,0.0000
960.410,-97.018,-49.582,0.328,0.031,0.789,10.733,0.000,0.000,0.0000
960.420,-97.018,-49.557,0.328,0.034,0.789,10.733,0.000,0.000,0.0000
960.430,-97.018,-49.532,0.327,0.037,0.789,10.733,0.000,0.000,0.0000
960.440,-97.018,-49.508,0.327,0.039,0.789,10.734,0.000,0.000,0.0000
960.450,-97.018,-49.484,0.326,0.041,0.788,10.734,0.000,0.000,0.0000
960.460,-97.018,-49.461,0.326,0.041,0.788,10.734,0.000,0.000,0.0000
960.470,-97.018,-49.438,0.326,0.042,0.788,10.735,0.000,0.000,0.0000
960.480,-97.018,-49.416,0.325,0.041,0.788,10.735,0.000,0.000,0.0000
960.490,-97.018,-49.394,0.325,0.040,0.788,10.736,0.000,0.000,0.0000
960.500,-97.018,-49.372,0.324,0.038,0.788,10.736,0.000,0.000,0.0000
960.510,-97.018,-49.351,0.324,0.036,0.788,10.736,0.000,0.000,0.0000
960.520,-97.018,-49.330,0.324,0.034,0.788,10.737,0.000,0.000,0.0000
960.530,-97.017,-49.309,0.323,0.031,0.788,10.737,0.000,0.000,0.0000
960.540,-97.017,-49.289,0.323,0.028,0.788,10.737,0.000,0.000,0.0000
960.550,-97.017,-49.269,0.323,0.025,0.788,10.738,0.000,0.000,0.0000
960.560,-97.017,-49.250,0.323,0.022,0.788,10.738,0.000,0.000,0.0000
960.570,-97.017,-49.231,0.322,0.018,0.788,10.738,0.000,0.000,0.0000
960.580,-97.017,-49.212,0.322,0.015,0.788,10.738,0.000,0.000,0.0000
960.590,-97.017,-49.194,0.322,0.011,0.788,10.738,0.000,0.000,0.0000
960.600,-97.017,-49.176,0.322,0.008,0.788,10.738,0.000,0.000,0.0000
960.610,-97.017,-49.159,0.322,0.005,0.788,10.738,0.000,0.000,0.0000
960.620,-97.017,-49.142,0.322,0.002,0.788,10.738,0.000,0.000,0.0000
960.630,-97.017,-49.125,0.322,0.002,0.788,10.738,0.000,0.000,0.0000
960.640,-97.017,-49.109,0.322,0.004,0.788,10.738,0.000,0.000,0.0000
960.650,-97.017,-49.093,0.322,0.006,0.788,10.738,0.000,0.000,0.0000
960.660,-97.017,-49.078,0.322,0.008,0.788,10.738,0.000,0.000,0.0000
960.670,-97.017,-49.063,0.322,0.010,0.788,10.738,0.000,0.000,0.0000
960.680,-97.017,-49.048,0.322,0.012,0.788,10.738,0.040,0.000,0.0000
960.690,-97.017,-49.034,0.323,0.013,0.788,10.738,0.080,0.000,0.0000
960.700,-97.017,-49.020,0.323,0.014,0.788,10.738,0.120,0.000,0.0000
960.710,-97.017,-49.006,0.323,0.013,0.788,10.738,0.160,0.000,0.0000
960.720,-97.017,-48.993,0.323,0.005,0.788,10.737,0.200,0.000,0.0000
960.730,-97.017,-48.979,0.323,0.009,0.788,10.738,0.240,0.000,0.0000
960.740,-97.017,-48.965,0.322,0.025,0.788,10.738,0.280,0.000,0.0000
960.750,-97.017,-48.951,0.322,0.042,0.788,10.738,0.320,0.000,0.0000
960.760,-97.017,-48.936,0.321,0.058,0.788,10.739,0.360,0.000,0.0000
